country,year,region,co2,coal_co2,gas_co2,oil_co2,co2_per_capita,gdp,gdp_per_capita,temperature_change_from_co2
India,2011,Asia,1.764712,1074.385,136.26,460.104,1.399,5720693014528.0,4535.822896190211,0.025
India,2012,Asia,1.9257,1206.452,125.605,489.814,1.506,6052427857920.0,4733.360858858009,0.026
India,2013,Asia,1.995098,1276.383,110.689,496.94,1.54,6424470487040.0,4957.805372769463,0.027
India,2014,Asia,2.1483440000000003,1407.057,109.467,512.465,1.637,6875186200576.0,5239.126523269645,0.028
India,2015,Asia,2.234219,1449.587,106.871,556.117,1.682,7391521275904.0,5565.801926418086,0.029
India,2016,Asia,2.3546579999999997,1499.401,113.622,614.597,1.752,8057466126336.0,5995.386987618243,0.03
India,2017,Asia,2.426607,1551.256,118.922,632.558,1.785,8550029459456.0,6288.370518751977,0.031
India,2018,Asia,2.593058,1668.318,126.201,657.084,1.886,9173200797696.0,6673.073354138744,0.032
India,2019,Asia,2.612888,1661.94,128.676,676.154,1.881,9595463401472.0,6908.030286126882,0.033
India,2020,Asia,2.421552,1561.799,127.994,606.045,1.726,8945313775616.0,6377.585158547964,0.034
India,2021,Asia,2.6742220000000003,1767.297,133.192,621.928,1.891,9801620783104.0,6930.839930043496,0.036
India,2022,Asia,2.831166,1855.854,124.009,684.057,1.986,10476248367104.0,7349.570484687743,0.037
Iran,1992,Asia,0.2281939999999999,3.385,52.647,142.941,3.73,424984707072.0,6945.899029144112,0.003
Iran,1993,Asia,0.2369929999999999,4.133,60.69,146.528,3.86,419990110208.0,6839.834567995973,0.003
Iran,1994,Asia,0.264822,4.173,73.287,157.266,4.305,419488432128.0,6818.666472433614,0.003
Iran,1995,Asia,0.270875,3.909,81.575,156.607,4.355,437566111744.0,7034.194923538279,0.003
Iran,1996,Asia,0.27662,4.089,81.246,160.791,4.399,483475488768.0,7688.701084786802,0.003
Iran,1997,Asia,0.269263,4.195,90.915,143.211,4.231,512736329728.0,8056.870747518563,0.004
Iran,1998,Asia,0.3056419999999999,4.884,98.652,174.87,4.737,541099753472.0,8386.560404077714,0.004
Iran,1999,Asia,0.374452,4.976,114.287,227.718,5.722,563869057024.0,8615.871425624806,0.004
Iran,2000,Asia,0.367213,5.328,120.448,210.118,5.529,595554533376.0,8966.674658035117,0.004
Iran,2001,Asia,0.389909,4.14,127.654,227.454,5.781,636570238976.0,9437.380813969305,0.004
Iran,2002,Asia,0.397031,4.664,143.816,217.927,5.838,698059653120.0,10263.87510454878,0.004
Iran,2003,Asia,0.4109669999999999,5.188,158.468,210.79,5.976,779969691648.0,11341.82231411394,0.005
Iran,2004,Asia,0.442119,4.994,178.9,221.765,6.293,849441914880.0,12090.612819493695,0.005
Iran,2005,Asia,0.466784,6.086,200.161,222.489,6.499,908856000512.0,12653.146832391889,0.005
Iran,2006,Asia,0.501018,5.983,221.54,233.364,6.827,995245162496.0,13560.538564615092,0.005
